File,ESTC ID,Title,Author,Printer,Location,City,Subject,Notes,Misc.,Category,Genre,Genre Category
WB MI 20181002.csv,N10109,"Observations in surgery: containing one hundred and fifteen different cases, with particular remarks on each, for the improvement of young students. Written originally in French, by Henry-Francis Le Dran, Of the Academy of Arts, Sworn Surgeon at Pari","Le Dran, Henri-Francois",printed for Stanley Crowder,in Pater-Noster-Row,L,Surgery -- Early works to 1800.,J. S. = John Sparrow.; Text is continuous despite pagination.; With a final advertisement leaf.; Below imprint in square brackets: price Bound Five Shillings.,", 1685-1770.",Scientific/Scholarly,Dissertations,
WB MI 20181002.csv,N10213,"The new universal parish officer. Containing all the laws now in force, relating to parish business, rang'd in alphabetical order. Very proper for attornies, constables, churchwardens, Justices, Overseers of the Poor, Surveyors of the Highways, all",Gentleman of the Middle Temple,"printed for W. Strahan and M. Woodfall, His Majesty's Law Printers for T. Caslon","in Stationers Court, Stanley Crowder, at No 12, and Robinson and Roberts",L,Parishes -- Great Britain.; Forms (Law) -- Great Britain.,With a final errata leaf.; Attibuted to Timothy Cunningham in Goldsmiths'.,,Legal;Religious,Formularies,
WB MI 20181002.csv,N10317,"The magnet. A musical entertainment, as sung at Marybone Gardens",AnonN10317,printed for T. Becket,in the Strand,L,"Songs, English -- Early works to 1800.Songs.",Sometimes attributed to Lady Dorothea Du Bois.; Without the music.,,Puzzles/Music/Jests,Songs,
WB MI 20181002.csv,N10351,"Magna Charta, opposed to assumed privilege: being a complete view of the late interesting disputes between the House of Commons and the magistrates of London; containing an account of the whole transactions from the first arresting of the printers, t",AnonN10351,"printed for Kearsley, George, -1790.",in Ludgate-Street,L,City of London (England). Lord Mayor.; Great Britain. Parliament. House of Commons.; City of London (England). Corporation.Freedom of the press -- Great Britain -- Early works to 1800.; Legislative bodies -- Great Britain -- Privileges and immunities -- Early works to 1800.,,,Legal;Addresses,Laws?,
WB MI 20181002.csv,N10464,"A letter to Robert Morris, Esq. Wherein the rise and progress of our political disputes are considered. Together with some observations on the power of judges and juries as relating to the cases of Woodfall and Almon",AnonN10464,printed for R. Baldwin,,L,"Almon, John, 1737-1805.; Woodfall, William, 1746-1803.Jury -- Great Britain.; Freedom of the press -- Great Britain.Great Britain -- Politics and government -- 1760-1789.",With a half-title.,,Literary;Addresses,Letter?,
WB MI 20181002.csv,N10548 ,"Memoirs of Lady Woodford. Written by herself, and addressed to a friend. In two volumes. ","Woodford, Lady","printed by George Bigg, for F. and J. Noble","at their respective circulating Libraries, near Middle Row, Holborn, and St. Martin's-Court, near Leicest",L,English fiction -- 18th century.Novels.,A novel.; Cataloged from title page for Vol.2.,,Literary,Fiction,
WB MI 20181002.csv,N10613,"A letter to the governors of the college of New York; respecting the collection that was made in this kingdom in 1762 and 1763, for the colleges of Philadelphia and New York. To which are added, explanatory notes; and an appendix, containing the le","Jay, James","printed for Kearsley, George, -1790., Richardson and Urquhart,  and G. Woodfall",in Ludgate-Street and under the Royal Exchange and at Charing-Cross,L,Columbia University.; University of Pennsylvania.,,", Sir, 1732-1815.",CDM,CDM,
WB MI 20181002.csv,N10729,"Observations on the effects of sea water in the scurvy and scrophula: in which a new theory of those diseases is attempted; with some reasons why bathing in fresh water must be much superior to that of the sea. By William Logan, M.D. Of Philadelphia","Logan, William",printed for Edward and Charles Dilly,in the Poultry,L,Scurvy.; Scrofula.; Seawater -- Therapeutic use.,Below imprint in square brackets: price One Shilling.,", 1747-1772.",Scientific/Scholarly,Dissertations,
WB MI 20181002.csv,N1095,"The concubine: a poem, in two cantos, in the manner of Spenser. Dition, with Alterations","Mickle, William Julius","printed for G. Pearch; and sold by D. Prince and R. Bliss, and T. and J. Merril","No. 12, Cheapside, sold at Oxford and at Cambridge",L,English poetry -- 18th century.Poems.,"Anonymous. By W.J. Mickle.; A reissue, with cancel titlepage, of 'A new edition' published by T. Davies, 1769.; Last leaf is a glossary 'to be placed at the end'.; Page 6 of Advertisement bears errata.; Below imprint in square brackets: price Two Shillings and Sixpence.",", 1735-1788.",Literary,Fiction,
WB MI 20181002.csv,N11251,"New lights thrown upon the history of Mary Queen of England, eldest daughter of Henry Viii. Addressed to David Hume, Esq; author of The history of the Plantagenets, the Tudors, and the Stuarts. Translated from the French","Griffet, Henri",printed for John Wilkie,at No. 71. in St. Paul's Church-Yard,L,"Mary I, Queen of England, 1516-1558.; Hume, David, 1711-1776. History of England.","Anonymous. By Henri Griffet.; A translation of 'Nouveaux eclaircissements sur l'histoire de Marie, reine d'Angleterre'.",", 1698-1771.",Historical,History,
WB MI 20181002.csv,N11333,"Letters from Clara: or, the effusions of the heart. ",Clara,printed for John Wilkie,,L,,,,Literary,Fiction,
WB MI 20181002.csv,N11336,"Letters concerning taste. The fourth edition. To which are added, Essays on similar and other subjects. The second edition. By the author of The life of Socrates","Cooper, John Gilbert",printed for J. Dodsley,in Pall-Mall,L,Aesthetics.,The author of The life of Socrates = John Gilbert Cooper.; With a half-title.,", 1723-1769.",Literary,Essays,
WB MI 20181002.csv,N11357,"Pharmacopoeia officinalis & extemporanea. Or, a complete English dispensatory, in four parts. Containing, I. The theory of pharmacy, ... II. A description of the officinal simples, ... III. The officinal compositions, ... IV. Extemporaneous prescript","Quincy, John",printed for Thomas Longman,,L,Dispensatories -- Great Britain -- Early works to 1800.,A reissue of the 1739 edition with a cancel titlepage.,", -1722.",Scientific/Scholarly;Instructional/Reference,Dictionary?,
WB MI 20181002.csv,N11571,"Priestcraft defended. A sermon occasioned by the expulsion of six young gentlemen from the University of Oxford, for praying, reading, and expounding the Scriptures. Humbly dedicated to Mr. V- C-r and the H-ds of H-s, by their humble servant, The Sha","Macgowan, John","printed for G. Keith, J. Johnson, and J. Gurney","in Gracechurch-Street and No. 72, St. Paul's Church-Yard and at No. 54, in Holbourn",L,Oxford (England). University. St. Edmund Hall.Methodism -- Early works to 1800.; Methodism -- Controversial literature.,The shaver = John Macgowan.; Below imprint in square brackets: price Sixpence.,", 1726-1780.",Religious,Sermon,
WB MI 20181002.csv,N11856,"A new treatise on the venereal disease, gleets, seminal weaknesses; the dreadful effects of self-pollution. And the causes of impotency; directing methods of cure established by repeated experience. By J. H. Smyth, M. D. and Man-Midwife","Smyth, J. H. (J. Hamilton)",printed for the author,,L,Sexually transmitted diseases -- Early works to 1800.; Syphilis -- Early works to 1800.,Below imprint in square brackets: price 1s. 6d.,,Scientific/Scholarly,Treatise,
WB MI 20181002.csv,N12217 ,"The practice of manoeuvring a battalion of infantry. By William Young, late major of Brigade to the corps of grenadiers and highlanders who served in Germany, and now in the service of Brunswick","[Young, William]",Printed for J. Millan,near Whitehall,L,Infantry drill and tactics -- Early works to 1800.,"Also issued as part of: 'Manoeuvres, or practical observations on the art of war', London, [1776?].; With three final advertisement pages.",", Major (not 1725?-1788)",Instructional/Reference,Guidebooks,
WB MI 20181002.csv,N12337,"Memorial for Mess. Thomas Gibson minister of Kirkurd, James Moffat minister of Newlands, Alexander Johnston minister of Lyne, William Dalgleish minister of Peebles, John Baird minister of Stobbo, and William Oman presbytery-clerk of Peebles, against ","Gibson, Thomas",,,E,Land settlement -- Early works to 1800.,Signed at end: George Clerk.; Dated at head of the drop-head title: January 17. 1771.,", -1787.",Legal,Will?,
WB MI 20181002.csv,N12338,"Lord Elliock reporter. Memorial for John Galbraith of Balgair, Dougal Buchanan of Craigavern, and Mr Thomas Scot minister of the Gospel in South Leith, accepting trustees appointed by the deceased John Cunninghame of Balbougie, writer to the signet","Galbraith, John",,,E,Inheritance and succession -- Early works to 1800.,"Signed at end: Jo. M'laurin.; Dated at head of the drop-head title: March 4. 1771.; The words Lord Elliock reporter"" are enclosed in square brackets.""",,Legal,Will?,
WB MI 20181002.csv,N12339,"Maxims and rules of pleading, in actions real, personal, and mixed, popular, and penal: describing the nature of declarations, pleas, replications, rejoinders, and all other parts of pleading; Shewing Their Validity and Defects, and in what Cases the","Heath, Robert",printed for William Griffin,"at Garrick's Head, Catharine-Street, in the Strand",L,Pleading -- Great Britain -- Early works to 1800.,,", Sir, 1575-1649.",Legal,Guidebooks?,
WB MI 20181002.csv,N12413,"(Lord Elliock reporter.) Memorial for Mrs Alison Cunningham, only daughter of the deceased John Cunningham of Balbougie, and now spouse to Captain Robert Mudie of Leith, and the said Captain Mudie for his interest, chargers; against the trustees of","Cunningham, Alison",,,E,Heir apparent -- Early works to 1800.,"Signed on p.6: Ro. M'queen.; Defending her father's bequests to her.; Drop-head title.; Dated at head of title: March 4. 1771.; Includes 'Copy of the bond of provision', pp.7-12.",,Legal,Will?,
WB MI 20181002.csv,N1270,"The anatomy of the human body abridged: or, a short and full view of all the parts of the body. Together with their several uses, drawn from their compositions and structures. By James Keill, M.D","Keill, James","printed for John and Francis Rivington, W. Johnston, S. Bladon ", in St. Paul's Church-Yard and in Ludgate-Street and in Pater-Noster-Row,L,Human anatomy -- Early works to 1800.,,", 1673-1719.",Scientific/Scholarly,Dissertations,
WB MI 20181002.csv,N12764,"Replies for Captain Basil Heron of the North British dragoons; to the answers for John Syme of Meikle Culloch writer to the signet, in name of himself, and others","Heron, Basil",,,E,"Heron, Basil -- Trials, litigation, etc.; Syme, John, -1790 -- Trials, litigation, etc.Trials -- Great Britain.; Trials -- Scotland -- Edinburgh.",Signed at end: Andrew Crosbie.; Heron had petitioned for admission to the roll of freeholders of Kirkcudbright.; Dated at head of title: January 31. 1771.; Drop-head title.,,Legal,Trial Proceedings,
WB MI 20181002.csv,N12767,"Replies for Mr William Innes, merchant in London, defender, to the answers given in by Mess. Gibson and Balfour to his petition","Innes, William",,,E,Payment -- Early works to 1800.,Signed at end: John Douglass.; Dated at head of the drop-head title: February 8. 1771.,", approximately 1720-1795.",Legal,Trial Proceedings,
